3z 150 mg, pó para suspensão oral, 150 mg
3z 200 mg, pó para suspensão oral, 200 mg
3z 250 mg, pó para suspensão oral, 250 mg
3z 500 mg, pó para suspensão oral, 500 mg
AAS 150, 150 mg
Sinvastatina Bluefish, 20 mg
Sinvastatina Bluefish, 40 mg
Sinvastatina Bluepharma, 10 mg
Sinvastatina Bluepharma, 20 mg
Sinvastatina Bluepharma, 40 mg
Sinvastatina Ciclum, 20 mg
Sinvastatina Ciclum, 40 mg
Sinvastatina Cinfa, 10 mg
Sinvastatina Cinfa, 40 mg
Sinvastatina Farmoz, 10 mg
Sinvastatina Farmoz, 20 mg
Sinvastatina Farmoz, 40 mg
Sinvastatina Generis, 10 mg
Sinvastatina Generis, 20 mg
Sinvastatina Generis, 40 mg
Sinvastatina Germed, 10 mg
Sinvastatina Germed, 20 mg
Sinvastatina Germed, 40 mg
Sinvastatina GP, 10 mg
Sinvastatina GP, 20 mg
Sinvastatina GP, 40 mg
Sinvastatina Jaba, 10 mg
Sinvastatina Jaba, 20 mg
Sinvastatina Jaba, 40 mg
Sinvastatina Labesfal, 10 mg
Sinvastatina Labesfal, 20 mg
Sinvastatina Labesfal, 40 mg
Sinvastatina Limeg, 10 mg
Sinvastatina Limeg, 20 mg
Sinvastatina Limeg, 40 mg
Sinvastatina Lipaz 10 mg Comprimidos Revestidos por Película, 10 mg
Sinvastatina Lipaz 20 mg Comprimidos Revestidos por Película, 20 mg
Sinvastatina Lipaz 40 mg Comprimidos Revestidos por Película, 40 mg
Sinvastatina Mepha, 20 mg
Sinvastatina Mepha, 40 mg
Sinvastatina Mylan, 10 mg
Sinvastatina Mylan, 20 mg
Sinvastatina Mylan, 40 mg
Sinvastatina Pharmakern, 10 mg
Sinvastatina Pharmakern, 20 mg
Sinvastatina Pharmakern, 40 mg
Sinvastatina Quimedical, 10 mg
Sinvastatina Quimedical, 20 mg
Sinvastatina Quimedical, 40 mg
Sinvastatina Ratiopharm, 10 mg
Sinvastatina Ratiopharm, 20 mg
Sinvastatina Ratiopharm, 40 mg
Sinvastatina Sandoz, 10 mg
Sinvastatina Sandoz, 20 mg
Sinvastatina Sandoz, 40 mg
Sinvastatina Stada, 10 mg
Sinvastatina Stada, 20 mg
Sinvastatina Stada, 40 mg
Sinvastatina Tecnigen, 10 mg
Sinvastatina Tecnigen, 20 mg
Sinvastatina Tecnigen, 40 mg
Sinvastatina Tecnimede, 10 mg
Sinvastatina Tetrafarma 20 mg Comprimidos revestidos por película, 20 mg
Sinvastatina Tetrafarma 40 mg Comprimidos revestidos por película, 40 mg
Sinvastatina Tetrafarma, 10 mg
Sinvastatina Teva, 10 mg
Sinvastatina Teva, 20 mg
Sinvastatina Teva, 40 mg
Sinvastatina toLife 10 mg comprimidos revestidos, 10 mg
Sinvastatina toLife 20 mg comprimidos revestidos, 20 mg
Sinvastatina toLife 40 mg comprimidos revestidos, 40 mg
Sinvastatina Vascorim, 20 mg
Sinvastatina Vitória, 20 mg
Sinvastatina Wynn, 10 mg
Sinvastatina Wynn, 20 mg
Sinvastatina Wynn, 40 mg
Sinvastatina Zentiva, 20 mg
Sinvastatina Zentiva, 40 mg
Sinvastatina Zera 20 mg Comprimidos Revestidos, 20 mg
Sinvastatina Zera 40 mg Comprimidos Revestidos, 40 mg
Sinvastatina Zera, 10 mg
Sirdalud MR, 6 mg
Sirdalud, 2 mg
Sirkava, 18 µg
Sitagliptina Alter, 100 mg
Sitagliptina Alter, 25 mg
Sitagliptina Alter, 50 mg
Sitagliptina Disit, 100 mg
Sitagliptina Disit, 25 mg
Sitagliptina Disit, 50 mg
Sitagliptina Farmoz, 100 mg
Sitagliptina Farmoz, 25 mg
Sitagliptina Farmoz, 50 mg
Sitagliptina Pentafarma, 100 mg
Sitagliptina Pentafarma, 25 mg
Sitagliptina Pentafarma, 50 mg
Sitagliptina ratiopharm, 100 mg
Sitagliptina ratiopharm, 25 mg
Sitagliptina ratiopharm, 50 mg
Sitagliptina Teva, 100 mg
Sitagliptina Teva, 25 mg
Sitagliptina Teva, 50 mg
Sivales, 20 mg
Skinoren, 150 mg/g
Skinoren, 200 mg/g
Skudexa, 75 mg + 25 mg
Slinda, 4 mg
Snizdil, 1 mg/ml
Snup, 0.5 mg/ml
Snup, 1 mg/ml
Sobrepina, 30 mg
Socian, 50 mg
Socian, 50 mg/10 ml
Sodolac, 400 mg
Sofiperla, 0.03 mg + 0.075 mg
Softacort, 3.35 mg/ml
Softasept, 83 mg/ml + 654.3 mg/ml
Solaraze, 30 mg/g
Solax, 667 mg/ml
Solexa, 100 mg
Solexa, 200 mg
Solifenacina Aristo, 10 mg
Solifenacina Aristo, 5 mg
Solifenacina Farmoz, 10 mg
Solifenacina Farmoz, 5 mg
Solifenacina Generis, 10 mg
Solifenacina Generis, 5 mg
Solifenacina Leugim, 10 mg
Solifenacina Leugim, 5 mg
Solifenacina Pentafarma, 10 mg
Solifenacina Pentafarma, 5 mg
Solifenacina Sarb, 10 mg
Solifenacina Sarb, 5 mg
Solifenacina Strami, 10 mg
Solifenacina Strami, 5 mg
Solução Cloretada Hipotónica, 4.5 mg/ml
Solução Polielectrolítica S com Glucose, Associação
Solução Polielectrolítica S sem Glucose, Associação
Solu-Cortef, 100 mg/2 ml
Soluderme, 0.5 mg/g
Solu-Medrol, 125 mg/2 ml
Solu-Medrol, 40 mg/1 ml
Soluprick Controlo Negativo, N.A.
Soluprick Controlo Positivo, 10 mg/ml
Solvium, 50 mg/g
Somac Control, 20 mg
Somatulina Autogel, 120 mg/488 mg
Somatulina Autogel, 60 mg/244 mg
Somatulina Autogel, 90 mg/366 mg
Somatulina LP 30 mg, 30 mg/2 ml
Somazina, 100 mg/ml
Somazina, 1000 mg/4 ml
Somazina, 500 mg/5 ml
Soolantra, 10 mg/g
Soro 410, 40 mg/ml + 1.8 mg/ml
Soro Fisiológico B.Braun, 9 mg/ml
Soro Fisiológico Basi, 9 mg/ml
Soro Glucosado Isotónico, 55 mg/ml
Sotalol Aurobindo, 160 mg
Sovaldi, 400 mg
Spasmomen, 40 mg
Spasmoplex, 20 mg
Spectorum Expectorante, 6 mg/ml
Spedra, 100 mg
Spedra, 200 mg
Spedra, 50 mg
Sperti Preparacao H, 10 mg/g + 30 mg/g
Sperti Preparacao H, 23 mg + 69 mg
Spica, 100 mg/ml
Spica, 50 mg/g
Spidifen cola-limão, 600 mg
Spidifen EF, 400 mg
Spidifen, 200 mg
Spidifen, 400 mg
Spidifen, 600 mg
Spiolto Respimat, 2.5 µg/dose + 2.5 µg/dose
Spiriva Respimat, 2.5 µg/dose
Spiriva, 18 µg
Sporanox, 10 mg/ml
Sporanox, 100 mg
Stablon, 12.5 mg
Stacer, 150 mg
Stacer, 300 mg
Stagid, 700 mg
Stalevo, 100 mg + 25 mg + 200 mg
Stalevo, 125 mg + 31.25 mg + 200 mg
Stalevo, 150 mg + 37.5 mg + 200 mg
Stalevo, 200 mg + 50 mg + 200 mg
Stalevo, 50 mg + 12.5 mg + 200 mg
Stalevo, 75 mg + 18.75 mg + 200 mg
Stapressial, 10 mg + 5 mg + 5 mg
Stapressial, 20 mg + 10 mg + 10 mg
Stapressial, 20 mg + 10 mg + 5 mg
Stapressial, 20 mg + 5 mg + 5 mg
Stapressial, 40 mg + 10 mg + 10 mg
Starlix, 120 mg
Starlix, 60 mg
Startonyl, 100 mg/2 ml
Startonyl, 100 mg/ml
Steglatro, 15 mg
Steglatro, 5 mg
Steglujan, 15 mg + 100 mg
Steglujan, 5 mg + 100 mg
Stelara, 130 mg/26 ml
Stelara, 45 mg/0.5 ml
Stelara, 90 mg/1 ml
Sterillium, 450 mg/g + 300 mg/g + 2 mg/g
Stesolid, 10 mg/2.5 ml
Stesolid, 5 mg/2.5 ml
Stilnox, 10 mg
Stodal, Associação
Stom, 10 mg
Stom, 20 mg
Stovadis, 12.5 mg + 5 mg
Stovadis, 12.5 mg + 7.5 mg
Stovadis, 25 mg + 5 mg
Stovadis, 25 mg + 7.5 mg
Stovadis, 6.25 mg + 5 mg
Stovadis, 6.25 mg + 7.5 mg
Strattera, 10 mg
Strattera, 18 mg
Strattera, 25 mg
Strattera, 4 mg/ml
Strattera, 40 mg
Strattera, 60 mg
Strattera, 80 mg
Strepfen Laranja sem açúcar, 8.75 mg
Strepfen Mel e limão, 8.75 mg
Strepfen Spray, 16.2 mg/ml
Strepsils Laranja com Vitamina C, 1.2 mg + 0.6 mg
Strepsils Limão sem açúcar, 1.2 mg + 0.6 mg
Strepsils Mel e limão, 1.2 mg + 0.6 mg
Strepsils Menta Fresca, 1.2 mg + 0.6 mg
Strepsils Morango sem açúcar, 1.2 mg + 0.6 mg
Strepsils Quente, 1.2 mg + 0.6 mg
Strepsils, 1.2 mg + 0.6 mg
Striatal, 20 mg
Striatal, 5 mg
Striverdi Respimat, 2.5 µg/dose
Structum, 500 mg
Strymix, 150 mg
Strymix, 25 mg
Strymix, 300 mg
Strymix, 50 mg
Strymix, 75 mg
Stugeron Forte, 75 mg
Stugeron, 25 mg
Stugeron, 75 mg/ml
Suboxone, 2 mg + 0.5 mg
Suboxone, 8 mg + 2 mg
Subutex, 0.4 mg
Subutex, 2 mg
Subutex, 8 mg
Sucralfato Generis 1g/5 ml Suspensão Oral, 1000 mg/5 ml
Sucralfato Jaba 1g Comprimidos, 1000 mg
Sucralfato Mylan, 1000 mg
Sucralfato Mylan, 1000 mg/5 ml
Sulfona Zimaia, 100 mg
Sulidor, 30 mg/g
Sumamed, 500 mg
Suplefol, 0.4 mg + 0.002 mg + 0.2 mg
Supofen, 1000 mg
Supofen, 125 mg
Supofen, 250 mg
Supofen, 40 mg/ml
Supofen, 500 mg
Supositórios de Glicerina (F.P.) Adulto, 1970 mg
Supositórios de Glicerina (F.P.) Infantil, 1100 mg
Supositórios de Glicerina Adulto, 2000 mg
Supositórios de Glicerina Infantil, 1000 mg
Supositórios de Glicerina Lactente, 686 mg
Supositórios de Glicerina, 1008.5 mg
Supositórios de Glicerina, 2017 mg
Supralip 145 mg, 145 mg
Surmontil 100, 100 mg
Surmontil 25, 25 mg
Sustenon, 250 mg/1 ml
Sycrest, 10 mg
Sycrest, 5 mg
Symbicort Turbohaler 320/9, 320 µg/dose + 9 µg/dose
Symbicort Turbohaler, 160 µg/dose + 4.5 µg/dose
Symbicort Turbohaler, 80 µg/dose + 4.5 µg/dose
Symbicort, 160 µg/dose + 4.5 µg/dose
Syminall, 10 mg
Syminall, 20 mg
Syminall, 40 mg
Syminall, 5 mg
Synacthen Depot, 1 mg/ml
Synalar N, 3.5 mg + 0.25 mg
Synalar Rectal, Associação
Synalar, 0.25 mg/g
Synflorix, Associação
Synjardy, 12.5 mg + 1000 mg
Synjardy, 12.5 mg + 850 mg
Synjardy, 5 mg + 1000 mg
Synjardy, 5 mg + 850 mg
Syntocinon, 40 U.I./ml
Systral, 15 mg/g
Tacforius, 0.5 mg
Tacforius, 1 mg
Tacforius, 3 mg
Tacforius, 5 mg
Tacirel LM, 35 mg
Tacrolímus Cantabria, 1 mg/g
Tacrolímus Generis, 0.5 mg
Tacrolímus Generis, 1 mg
Tacrolímus Generis, 5 mg
Tadalafil Alter, 10 mg
Tadalafil Alter, 20 mg
Tadalafil Alter, 5 mg
Tadalafil Aristo, 10 mg
Tadalafil Aristo, 20 mg
Tadalafil Aristo, 5 mg
Tadalafil Aurovitas, 10 mg
Tadalafil Aurovitas, 20 mg
Tadalafil Aurovitas, 5 mg
Tadalafil Azevedos, 10 mg
Tadalafil Azevedos, 2.5 mg
Tadalafil Azevedos, 20 mg
Tadalafil Azevedos, 5 mg
Tadalafil Blixie, 10 mg
Tadalafil Blixie, 20 mg
Tadalafil Blixie, 5 mg
Tadalafil Bluepharma, 10 mg
Tadalafil Bluepharma, 20 mg
Tadalafil Bluepharma, 5 mg
Tadalafil Ciclum, 10 mg
Tadalafil Ciclum, 20 mg
Tadalafil Ciclum, 5 mg
Tadalafil Cinfa, 10 mg
Tadalafil Cinfa, 20 mg
Tadalafil Cinfa, 5 mg
Tadalafil Fantex, 10 mg
Tadalafil Fantex, 20 mg
Tadalafil Fantex, 5 mg
Tadalafil Farmoz, 10 mg
Tadalafil Farmoz, 20 mg
Tadalafil Farmoz, 5 mg
Tadalafil Generis, 10 mg
Tadalafil Generis, 20 mg
Tadalafil Generis, 5 mg
Tadalafil GP, 10 mg
Tadalafil GP, 20 mg
Tadalafil GP, 5 mg
Tadalafil Krka, 10 mg
Tadalafil Krka, 20 mg
Tadalafil Krka, 5 mg
Tadalafil Mylan, 10 mg
Tadalafil Mylan, 20 mg
Tadalafil Mylan, 5 mg
Tadalafil Pentafarma, 10 mg
Tadalafil Pentafarma, 20 mg
Tadalafil Pentafarma, 5 mg
Tadalafil Pharmakern, 10 mg
Tadalafil Pharmakern, 20 mg
Tadalafil Pharmakern, 5 mg
Tadalafil Rasec, 10 mg
Tadalafil Rasec, 20 mg
Tadalafil Rasec, 5 mg
Tadalafil Ratiopharm, 10 mg
Tadalafil Ratiopharm, 20 mg
Tadalafil Ratiopharm, 5 mg
Tadalafil Reconir, 10 mg
Tadalafil Reconir, 20 mg
Tadalafil Reconir, 5 mg
Tadalafil Sandoz, 10 mg
Tadalafil Sandoz, 20 mg
Tadalafil Sandoz, 5 mg
Tadalafil Tecnigen, 10 mg
Tadalafil Tecnigen, 20 mg
Tadalafil Tecnigen, 5 mg
Tadalafil Teva, 10 mg
Tadalafil Teva, 20 mg
Tadalafil Teva, 5 mg
Tadalafil toLife, 10 mg
Tadalafil toLife, 20 mg
Tadalafil toLife, 5 mg
Tadalafil Venxal, 10 mg
Tadalafil Venxal, 20 mg
Tadalafil Venxal, 5 mg
Tafixyl, 1000 mg
Tafixyl, 500 mg
Takrozem, 1 mg/g
Taloxa, 120 mg/ml
Taloxa, 600 mg
Tamiflu, 30 mg
Tamiflu, 45 mg
Tamiflu, 75 mg
Tamoxan, 40 mg
Tamoxifeno Farmoz 10 mg Comprimidos, 10 mg
Tamoxifeno Farmoz 20 mg Comprimidos, 20 mg
Tamoxifeno Generis 10 mg Comprimidos, 10 mg
Tamoxifeno Generis 20 mg Comprimidos, 20 mg
Tamoxifeno Tamoxan, 10 mg
Tamoxifeno Tamoxan, 20 mg
Tandemact, 2 mg + 30 mg
Tandemact, 4 mg + 30 mg
Tandix L.P., 1.5 mg
Tansulosina Aristo, 0.4 mg
Tansulosina Aurovitas, 0.4 mg
Tansulosina Baldacci 0,4 mg Cápsulas de libertação prolongada, 0.4 mg
Tansulosina Basi, 0.4 mg
Tansulosina Bluepharma, 0.4 mg
Tansulosina Ciclum 0,4 mg Cápsulas de libertação prolongada, 0.4 mg
Tansulosina Cinfa 0,4 mg Cápsulas de Libertação Prolongada, 0.4 mg
Tansulosina Farmoz 0,4 mg Cápsulas de libertação prolongada, 0.4 mg
Tansulosina Generis 0,4 mg Cápsulas de libertação prolongada, 0.4 mg
Tansulosina Germed, 0.4 mg
Tansulosina GP 0,4 mg Cápsulas de libertação prolongada, 0.4 mg
Tansulosina Krka, 0.4 mg
Tansulosina Labesfal, 0.4 mg
Tansulosina Mepha 0,4 mg Cápsulas duras de libertação prolongada, 0.4 mg
Tansulosina Mepha LP, 0.4 mg
Tansulosina Mylan, 0.4 mg
Tansulosina Pharmakern, 0.4 mg
Tansulosina Ratiopharm 0,4 mg Cápsula de libertação prolongada, 0.4 mg
Tansulosina Reliva 0,4 mg Cápsulas de libertação prolongada, 0.4 mg
Tansulosina Sandoz 0,4 mg Cápsulas de Libertação Prolongada, 0.4 mg
Tansulosina Sandoz, 0.4 mg
Tansulosina Teva, 0.4 mg
Tansulosina toLife 0.4 mg Cápsulas de libertação prolongada, 0.4 mg
Tansulosina Zentiva, 0.4 mg
Tantum Verde, 1.5 mg/ml
Tantum Verde, 3 mg
Tantum Verde, 3 mg + 2.5 mg
Tantum Verde, 3 mg/ml
Tantum, 30 mg/g
Tantumgrip sabor a laranja, 600 mg + 10 mg
Tantumgrip sabor a limão, 600 mg + 10 mg
Tantumgrip sabor a mel-limão, 600 mg + 10 mg
Taptiqom, 0.015 mg/ml + 5 mg/ml
Tareg, 160 mg
Tareg, 80 mg
Targin, 10 mg + 5 mg
Targin, 20 mg + 10 mg
Targin, 40 mg + 20 mg
Targin, 5 mg + 2.5 mg
Targretin, 75 mg
Tarmed, 40 mg/g
Tasmar, 100 mg
Tasmar, 200 mg
Tation, 10 mg
Tation, 5 mg
Tavanic, 500 mg
Tavégyl, 1 mg
Tebarat, 0.125 mg/0.25 ml
Tecnosal, 300 mg
Tedol, 20 mg/g
Tedol, 20 mg/ml
Teglutik, 5 mg/ml
Tegretol Cr, 200 mg
Tegretol Cr, 400 mg
Tegretol, 20 mg/ml
Tegretol, 200 mg
Tegretol, 400 mg
Telfast 120, 120 mg
Telfast 180, 180 mg
Telfast Spray Nasal, 55 µg/dose
Telmisartan + Hidroclorotiazida Alter, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Alter, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Alter, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Aristo, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Aristo, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Aristo, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Ciclum, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Ciclum, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Ciclum, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Farmoz, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Farmoz, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Farmoz, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Generis, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Generis, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Generis, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Krka, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Krka, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Krka, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Pentafarma, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Pentafarma, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Pentafarma, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Pharmakern, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Pharmakern, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Pharmakern, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Sandoz, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Sandoz, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Sandoz, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Teva, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Teva, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Teva, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Tolife, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Tolife, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Tolife, 80 mg + 25 mg
Telmisartan + Hidroclorotiazida Zentiva, 40 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Zentiva, 80 mg + 12.5 mg
Telmisartan + Hidroclorotiazida Zentiva, 80 mg + 25 mg
Telmisartan Actavis, 20 mg
Telmisartan Actavis, 40 mg
Telmisartan Actavis, 80 mg
Telmisartan Alter Genéricos, 20 mg
Telmisartan Alter Genéricos, 40 mg
Telmisartan Alter Genéricos, 80 mg
Telmisartan Azevedos, 20 mg
Telmisartan Azevedos, 40 mg
Telmisartan Azevedos, 80 mg
Telmisartan Basi, 20 mg
Telmisartan Basi, 40 mg
Telmisartan Basi, 80 mg
Telmisartan Ciclum, 20 mg
Telmisartan Ciclum, 40 mg
Telmisartan Ciclum, 80 mg
Telmisartan Evertine, 20 mg
Telmisartan Evertine, 40 mg
Telmisartan Evertine, 80 mg
Telmisartan Farmoz, 20 mg
Telmisartan Farmoz, 40 mg
Telmisartan Farmoz, 80 mg
Telmisartan Generis Phar, 20 mg
Telmisartan Generis Phar, 40 mg
Telmisartan Generis Phar, 80 mg
Telmisartan Mylan, 20 mg
Telmisartan Mylan, 40 mg
Telmisartan Mylan, 80 mg
Telmisartan Pharmakern, 20 mg
Telmisartan Pharmakern, 40 mg
Telmisartan Pharmakern, 80 mg
Telmisartan Ratiopharm, 20 mg
Telmisartan Ratiopharm, 40 mg
Telmisartan Ratiopharm, 80 mg
Telmisartan Sandoz, 20 mg
Telmisartan Sandoz, 40 mg
Telmisartan Sandoz, 80 mg
Telmisartan Teva Pharma, 20 mg
Telmisartan Teva Pharma, 40 mg
Telmisartan Teva Pharma, 80 mg
Telmisartan Teva, 20 mg
Telmisartan Teva, 40 mg
Telmisartan Teva, 80 mg
Telmisartan toLife, 20 mg
Telmisartan toLife, 40 mg
Telmisartan toLife, 80 mg
Telmisartan Zentiva, 40 mg
Telmisartan Zentiva, 80 mg
Telmisartan+Hidroclorotiazida Ratiopharm, 40 mg + 12.5 mg
Telmisartan+Hidroclorotiazida Ratiopharm, 80 mg + 12.5 mg
Telmisartan+Hidroclorotiazida Ratiopharm, 80 mg + 25 mg
Tenalgin, 20 mg
Teniverme, 100 mg
Teniverme, 20 mg/ml
Tenoretic Mite, 50 mg + 12.5 mg
Tenoretic, 100 mg + 25 mg
Tenormin Mite, 50 mg
Tenormin, 100 mg
Tenossis, 150 mg + 22400 U.I.
Terbinafina Almus, 250 mg
Terbinafina Aristo 10 mg/g Creme, 10 mg/g
Terbinafina Atral, 250 mg
Terbinafina Aurobindo, 250 mg
Terbinafina Aurovitas, 250 mg
Terbinafina Bluepharma 250 mg Comprimidos, 250 mg
Terbinafina Ciclum, 250 mg
Terbinafina Cinfa, 250 mg
Terbinafina Farmoz 250 mg Comprimidos, 250 mg
Terbinafina Fungil 250 mg comprimidos, 250 mg
Terbinafina Generis 10 mg/g Creme, 10 mg/g
Terbinafina Generis 250 mg Comprimidos, 250 mg
Terbinafina Germed 250 mg Comprimidos, 250 mg
Terbinafina GP 250 mg Comprimidos, 250 mg
Terbinafina Jaba 250 mg Comprimidos, 250 mg
Terbinafina Mylan, 250 mg
Terbinafina Pentafarma, 250 mg
Terbinafina Pharmakern 250 mg Comprimidos, 250 mg
Terbinafina ratiopharm 250 mg comprimidos, 250 mg
Terbinafina Ratiopharm, 10 mg/g
Terbinafina Sandoz 250 mg Comprimidos, 250 mg
Terbinafina toLife 250 mg Comprimidos, 250 mg
Terbinafina Wynn, 250 mg
Terbul, 10 mg/g
Tercian, 100 mg
Tercian, 40 mg/ml
Teriparatida ratiopharm, 0.25 mg/ml
Termycol 250 mg comprimidos, 250 mg
Termycol, 10 mg/g
Terposen, 150 mg
Terricil, 5 mg/g
Testavan, 20 mg/g
Testim, 50 mg/5 g
Testogel, 50 mg/5 g
Testoviron Depot, 250 mg/1 ml
Tetradin, 500 mg
Teveten Plus, 600 mg + 12.5 mg
Teveten, 600 mg
Thrombocid, 1 mg/g
Thrombocid, 15 mg/g
Thyrax, 0.025 mg
Thyrax, 0.1 mg
Tianeptina Generis, 12.5 mg
Tianeptina Mylan, 12.5 mg
Tiaprida Generis, 100 mg
Tiapridal, 100 mg
Tiapridal, 100 mg/2 ml
Tibolona Aristo, 2.5 mg
Tibolona Zentiva, 2.5 mg
Ticlodix, 250 mg
Ticlopidina Almus, 250 mg
Ticlopidina Alter 250 mg Comprimidos, 250 mg
Ticlopidina Betlife 250 mg Comprimidos, 250 mg
Ticlopidina Bluepharma, 250 mg
Ticlopidina Ciclum 250 mg Comprimidos, 250 mg
Ticlopidina Cinfa 250 mg Comprimidos Revestidos, 250 mg
Ticlopidina Farmoz, 250 mg
Ticlopidina Generis 250 mg Comprimidos Revestidos, 250 mg
Ticlopidina GP, 250 mg
Ticlopidina Labesfal 250 mg Comprimidos Revestidos, 250 mg
Ticlopidina Mylan, 250 mg
Ticlopidina Sandoz 250 mg Comprimidos revestidos, 250 mg
Ticlopidina Tetrafarma, 250 mg
Ticlopidina ToLife 250 mg Comprimidos, 250 mg
Ticlopidina Trombopat 250 mg Comprimidos Revestidos, 250 mg
Ticlopidina Wynn, 250 mg
Ticlopidina-ratiopharm, 250 mg
Tiklyd, 250 mg
Tilactase Farmoz, 4000 U ONPG
Tilactase Tecnimede, 4000 U ONPG
Tilavist, 20 mg/ml
Tilcin, 150 mg/1.5 ml
Tilcotil, 20 mg
Timabak, 2.5 mg/ml
Timabak, 5 mg/ml
Timogel, 0.4 mg/0.4 g
Timoglau, 2.5 mg/ml
Timoglau, 5 mg/ml
Timolen Forte, 5 mg/ml
Timolol + Dorzolamida Aurovitas, 5 mg/ml + 20 mg/ml
Timolol + Dorzolamida Germed, 5 mg/ml + 20 mg/ml
Timolol + Dorzolamida Mylan, 5 mg/ml + 20 mg/ml
Timolol + Travoprost Mylan, 5 mg/ml + 0.04 mg/ml
Timoptol, 2.5 mg/ml
Timoptol, 5 mg/ml
Tiocolquicosido Generis, 4 mg
Tioconazol Aristo, 10 mg/g
Tiorfan Infantil, 30 mg
Tiorfan Lactente, 10 mg
Tiorfan, 100 mg
Tirocular, 40 mg/ml
Tiropa, 250 mg
Tizanidina Teva, 2 mg
Tobradex, 1 mg/ml + 3 mg/ml
Tobra-Gobens 100, 100 mg/2 ml
Tobra-Gobens 50, 50 mg/2 ml
Tobramicina Labesfal, 100 mg/2 ml
Tobramicina Labesfal, 150 mg/3 ml
Tobrex, 3 mg/g
Tobrex, 3 mg/ml
Toceliv, 2 mg/ml
Tofranil, 10 mg
Tofranil, 25 mg
Toloxim, 100 mg
Toloxim, 20 mg/ml
Tolucombi, 40 mg + 12.5 mg
Tolucombi, 80 mg + 12.5 mg
Tolucombi, 80 mg + 25 mg
Tolura, 20 mg
Tolura, 40 mg
Tolura, 80 mg
Tolvon, 30 mg
Tomin, 37.5 mg + 325 mg
Tonice, 10 mg/ml + 20 mg/ml + 30 mg/ml
Tonice, 10 mg/ml + 30 mg/ml + 40 mg/ml
Tonsan, Associação
Tonsilotren, n/a
Topamax, 100 mg
Topamax, 15 mg
Topamax, 25 mg
Topamax, 50 mg
Topigel, 200 mg/g
Topiramato Almus, 100 mg
Topiramato Almus, 200 mg
Topiramato Almus, 25 mg
Topiramato Almus, 50 mg
Topiramato Alter, 100 mg
Topiramato Alter, 200 mg
Topiramato Alter, 25 mg
Topiramato Alter, 50 mg
Topiramato Aurovitas, 100 mg
Topiramato Aurovitas, 200 mg
Topiramato Aurovitas, 25 mg
Topiramato Aurovitas, 50 mg
Topiramato Azevedos, 100 mg
Topiramato Azevedos, 200 mg
Topiramato Azevedos, 25 mg
Topiramato Azevedos, 50 mg
Topiramato Bluefish, 100 mg
Topiramato Bluefish, 200 mg
Topiramato Bluefish, 25 mg
Topiramato Bluefish, 50 mg
Topiramato Bluepharma, 100 mg
Topiramato Bluepharma, 200 mg
Topiramato Bluepharma, 25 mg
Topiramato Bluepharma, 50 mg
Topiramato Ciclum, 100 mg
Topiramato Ciclum, 200 mg
Topiramato Ciclum, 25 mg
Topiramato Ciclum, 50 mg
Topiramato Cinfa, 100 mg
Topiramato Cinfa, 25 mg
Topiramato Cinfa, 50 mg
Topiramato Clindonim, 100 mg
Topiramato Clindonim, 200 mg
Topiramato Clindonim, 25 mg
Topiramato Clindonim, 50 mg
Topiramato Farmoz, 100 mg
Topiramato Farmoz, 200 mg
Topiramato Farmoz, 25 mg
Topiramato Farmoz, 50 mg
Topiramato Genedec, 100 mg
Topiramato Genedec, 200 mg
Topiramato Genedec, 25 mg
Topiramato Genedec, 50 mg
